Code;Description
997137;All Services Financial and related services Other property insurance services
997138;All Services Financial and related services Freight insurance services and travel insurance services
997139;All Services Financial and related services Other non-life insurance services (excluding reinsurance services)
997141;All Services Financial and related services Life reinsurance services
997142;All Services Financial and related services Accident and health reinsurance services
997143;All Services Financial and related services Motor vehicle reinsurance services
997144;All Services Financial and related services Marine, aviation and other transport reinsurance services
997145;All Services Financial and related services Freight reinsurance services
997146;All Services Financial and related services Other property reinsurance services
997147;All Services Financial and related services Other property reinsurance services
997149;All Services Financial and related services Other non-life reinsurance services 
997151;All Services Financial and related services Services related to investment banking such as mergers and acquisition services, corporate finance and venture capital services
997152;All Services Financial and related services Brokerage and related securities and commodities services including commodity exchange services
997153;All Services Financial and related services Portfolio management services except pension funds
997154;All Services Financial and related services Trust and custody services
997155;All Services Financial and related services Services related to the administration of financial markets
997156;All Services Financial and related services Financial consultancy services
997157;All Services Financial and related services Foreign exchange services
997158;All Services Financial and related services Financial transactions processing and clearing house services
997159;All Services Financial and related services Other services auxiliary to financial services
997161;All Services Financial and related services Services auxiliary to insurance and pensions
997162;All Services Financial and related services Insurance claims adjustment services
997163;All Services Financial and related services Actuarial services
997164;All Services Financial and related services Pension fund management services
997169;All Services Financial and related services Other services auxiliary to insurance and pensions 
997171;All Services Financial and related services Services of holding equity of subsidiary companies
997172;All Services Financial and related services Services of holding securities and other assets of trusts and funds and similar financial entities
997211;All Services Real estate services Rental or leasing services involving own or leased residential property
997212;All Services Real estate services Rental or leasing services involving own or leased non-residential property
997213;All Services Real estate services Trade services of buildings
997214;All Services Real estate services Trade services of time-share properties
997215;All Services Real estate services Trade services of vacant and subdivided land
997219;All Services Real estate services Other real estate services involving owned or leased property
997221;All Services Real estate services Property management services on a fee or commission basis or on contract basis
997222;All Services Real estate services Building sales on a fee or commission basis or on contract basis
997223;All Services Real estate services Land sales on a fee or commission basis or on contract basis
997224;All Services Real estate services Real estate appraisal services on a fee or commission basis or on contract basis
997229;All Services Real estate services Other real estate services on a fee or commission basis or on contract basis
997231;All Services Real estate services Services by way of grant of development rights, FSI or additional FSI
997311;All Services Leasing or rental services without operator Leasing or rental services concerning transport equipments including containers, without operator
997312;All Services Leasing or rental services without operator Leasing or rental services concerning agricultural machinery and equipment without operator
997313;All Services Leasing or rental services without operator Leasing or rental services concerning construction machinery and equipment without operator
997314;All Services Leasing or rental services without operator Leasing or rental services concerning office machinery and equipment (except computers) without operator
997315;All Services Leasing or rental services without operator Leasing or rental services concerning computers without operators
997316;All Services Leasing or rental services without operator Leasing or rental services concerning telecommunications equipment without operator
997317;All Services Leasing or rental services without operator Leasing or rental services concerning other machinery and equipment without operator 
997318;All Services Leasing or rental services without operator Transfer of the right to use any goods for any purpose (whether or not for a specified period) for cash, deferred payment or other valuable consideration.
997319;All Services Leasing or rental services without operator Leasing or rental services concerning other machinery and equipments without operator
997321;All Services Leasing or rental services without operator Leasing or rental services concerning televisions, radios, video cassette recorders, projectors, audio systems and related equipment and accessories (home entertainment equipment )
997322;All Services Leasing or rental services without operator Leasing or rental services concerning video tapes and disks (home entertainment equipment )
997323;All Services Leasing or rental services without operator Leasing or rental services concerning furniture and other household appliances
997324;All Services Leasing or rental services without operator Leasing or rental services concerning pleasure and leisure equipment
997325;All Services Leasing or rental services without operator Leasing or rental services concerning household linen
997326;All Services Leasing or rental services without operator Leasing or rental services concerning textiles, clothing and footwear
997327;All Services Leasing or rental services without operator Leasing or rental services concerning do-it-yourself machinery and equipment
997328;All Services Leasing or rental services without operator Transfer of the right to use any goods for any purpose (whether or not for a specified period) for cash, deferred payment or other valuable consideration.
997329;All Services Leasing or rental services without operator Leasing or rental services concerning other goods
997331;All Services Leasing or rental services without operator Licensing services for the right to use computer software and databases
997332;All Services Leasing or rental services without operator Licensing services for the right to broadcast and show original films, sound recordings, radio and television programme and the like
997333;All Services Leasing or rental services without operator Licensing services for the right to reproduce original art works
997334;All Services Leasing or rental services without operator Licensing services for the right to reprint and copy manuscripts, books, journals and periodicals
997335;All Services Leasing or rental services without operator Licensing services for the right to use research and development  products
997336;All Services Leasing or rental services without operator Licensing services for the right to use trademarks and franchises
997337;All Services Leasing or rental services without operator Licensing services for the right to use minerals including its exploration and evaluation
997338;All Services Leasing or rental services without operator Licensing services for right to use other natural resources including telecommunication spectrum
997339;All Services Leasing or rental services without operator Licensing services for the right to use other intellectual property products and other resources nowhere else classified
998111;All Services Research and development services Research and experimental development services in natural sciences
998112;All Services Research and development services Research and experimental development services in engineering and technology
998113;All Services Research and development services Research and experimental development services in medical sciences and pharmacy
998114;All Services Research and development services Research and experimental development services in agricultural sciences
998121;All Services Research and development services Research and experimental development services in social sciences
998122;All Services Research and development services Research and experimental development services in humanities
998130;All Services Research and development services Interdisciplinary research and experimental development services
998141;All Services Research and development services Research and development originals in pharmaceuticals
998142;All Services Research and development services Research and development originals in agriculture
998143;All Services Research and development services Research and development originals in biotechnology
998144;All Services Research and development services Research and development originals in computer related sciences
998145;All Services Research and development services Research and development originals in other fields nowhere else classified
998149;All Services Research and development services Research and development originals in other fields nowhere else classified
998211;All Services Legal and accounting services Legal advisory and representation services concerning criminal law
998212;All Services Legal and accounting services Legal advisory and representation services concerning other fields of law
998213;All Services Legal and accounting services Legal documentation and certification services concerning patents, copyrights and other intellectual property rights
998214;All Services Legal and accounting services Legal documentation and certification services concerning other documents
998215;All Services Legal and accounting services Arbitration and conciliation services
998216;All Services Legal and accounting services Other legal services nowhere else classified
998219;All Services Legal and accounting services Other legal services nowhere else classified
998221;All Services Legal and accounting services Financial auditing services
998222;All Services Legal and accounting services Accounting and bookkeeping services
998223;All Services Legal and accounting services Payroll services
998224;All Services Legal and accounting services Other similar services nowhere else classified
998229;All Services Legal and accounting services Other similar services nowhere else classified
998231;All Services Legal and accounting services Corporate tax consulting and preparation services
998232;All Services Legal and accounting services Individual tax preparation and planning services
998239;All Services Legal and accounting services Other tax consultancy and preparation services 
998240;All Services Legal and accounting services Insolvency and receivership services
998311;All Services Other professional, technical and business services Management consulting and management services including financial, strategic, human resources, marketing, operations and supply chain management
998312;All Services Other professional, technical and business services Business consulting services including public relations services
998313;All Services Other professional, technical and business services Information technology consulting and support services
998314;All Services Other professional, technical and business services Information technology design and development services
998315;All Services Other professional, technical and business services Hosting and information technology infrastructure provisioning services
998316;All Services Other professional, technical and business services Information technology infrastructure and network management services
998319;All Services Other professional, technical and business services Other information technology services nowhere else classified
998321;All Services Other professional, technical and business services Architectural advisory services
998322;All Services Other professional, technical and business services Architectural services for residential building projects
998323;All Services Other professional, technical and business services Architectural services for non-residential building projects
998324;All Services Other professional, technical and business services Historical restoration architectural services
998325;All Services Other professional, technical and business services Urban planning services
998326;All Services Other professional, technical and business services Rural land planning services
998327;All Services Other professional, technical and business services Project site master planning services
998328;All Services Other professional, technical and business services Landscape architectural services and advisory services
998329;All Services Other professional, technical and business services Other architectural services, urban and land planning and landscape architectural services
998331;All Services Other professional, technical and business services Engineering advisory services
998332;All Services Other professional, technical and business services Engineering services for building projects
998333;All Services Other professional, technical and business services Engineering services for industrial and manufacturing projects
998334;All Services Other professional, technical and business services Engineering services for transportation projects
998335;All Services Other professional, technical and business services Engineering services for power projects
998336;All Services Other professional, technical and business services Engineering services for telecommunications and broadcasting projects
998337;All Services Other professional, technical and business services Engineering services for waste management projects (hazardous and non-hazardous), for water, sewerage and drainage projects
998338;All Services Other professional, technical and business services Engineering services for other projects nowhere else classified
998339;All Services Other professional, technical and business services Project management services for construction projects
998341;All Services Other professional, technical and business services Geological and geophysical consulting services
998342;All Services Other professional, technical and business services Subsurface surveying services
998343;All Services Other professional, technical and business services Mineral exploration and evaluation
998344;All Services Other professional, technical and business services Surface surveying and map-making services
998345;All Services Other professional, technical and business services Weather forecasting and meteorological services
998346;All Services Other professional, technical and business services Technical testing and analysis services
998347;All Services Other professional, technical and business services Certification of ships, aircraft, dams, and the like
998348;All Services Other professional, technical and business services Certification and authentication of works of art
998349;All Services Other professional, technical and business services Other technical and scientific services nowhere else classified
998351;All Services Other professional, technical and business services Veterinary services for pet animals
998352;All Services Other professional, technical and business services Veterinary services for livestock
998359;All Services Other professional, technical and business services Other veterinary services nowhere else classified
998361;All Services Other professional, technical and business services Advertising Services
998362;All Services Other professional, technical and business services Purchase or sale of advertising space or time, on commission
998363;All Services Other professional, technical and business services Sale of advertising space in print media (except on commission)
998364;All Services Other professional, technical and business services Sale of television and radio advertising time
998365;All Services Other professional, technical and business services Sale of Internet advertising space
998366;All Services Other professional, technical and business services Sale of other advertising space or time (except on commission)
998371;All Services Other professional, technical and business services Market research services
998372;All Services Other professional, technical and business services Public opinion polling services
998381;All Services Other professional, technical and business services Portrait photography services
998382;All Services Other professional, technical and business services Advertising and related photography services
998383;All Services Other professional, technical and business services Event photography and event videography services
998384;All Services Other professional, technical and business services Specialty photography services
998385;All Services Other professional, technical and business services Restoration and retouching services of photography
998386;All Services Other professional, technical and business services Photographic and videographic processing services
998387;All Services Other professional, technical and business services Other photography and videography and their processing services nowhere else classified
998389;All Services Other professional, technical and business services Other photography and videography and their processing services nowhere else classified
998391;All Services Other professional, technical and business services Specialty design services including interior design, fashion design, industrial design and other specialty design services
998392;All Services Other professional, technical and business services Design originals
998393;All Services Other professional, technical and business services Scientific and technical consulting services
998394;All Services Other professional, technical and business services Original compilations of facts or information
998395;All Services Other professional, technical and business services Translation and interpretation services
998396;All Services Other professional, technical and business services Trademarks and franchises
998397;All Services Other professional, technical and business services Sponsorship services and brand promotion services
998398;All Services Other professional, technical and business services Sponsorship services and brand promotion services
998399;All Services Other professional, technical and business services Other professional, technical and business services nowhere else classified
998411;All Services Telecommunications, broadcasting and information supply services Carrier services
998412;All Services Telecommunications, broadcasting and information supply services Fixed telephony services
998413;All Services Telecommunications, broadcasting and information supply services Mobile telecommunications services
998414;All Services Telecommunications, broadcasting and information supply services Private network services
998415;All Services Telecommunications, broadcasting and information supply services Data transmission services
998419;All Services Telecommunications, broadcasting and information supply services Other telecommunications services including fax services, telex services nowhere else classified
998421;All Services Telecommunications, broadcasting and information supply services Internet backbone services
998422;All Services Telecommunications, broadcasting and information supply services Internet access services in wired and wireless mode
998423;All Services Telecommunications, broadcasting and information supply services Fax, telephony over the Internet
998424;All Services Telecommunications, broadcasting and information supply services Audio conferencing and video conferencing over the Internet
998429;All Services Telecommunications, broadcasting and information supply services Other internet telecommunications services nowhere else classified
998431;All Services Telecommunications, broadcasting and information supply services On-line text based information such as online books, newspapers, periodicals, directories and the like
998432;All Services Telecommunications, broadcasting and information supply services On-line audio content
998433;All Services Telecommunications, broadcasting and information supply services On-line video content
998434;All Services Telecommunications, broadcasting and information supply services Software downloads
998435;All Services Telecommunications, broadcasting and information supply services Supply consisting only of e-book.
998439;All Services Telecommunications, broadcasting and information supply services Other on-line contents nowhere else classified
998441;All Services Telecommunications, broadcasting and information supply services News agency services to newspapers and periodicals
998442;All Services Telecommunications, broadcasting and information supply services Services of independent journalists and press photographers
998443;All Services Telecommunications, broadcasting and information supply services News agency services to audiovisual media
998451;All Services Telecommunications, broadcasting and information supply services Library services
998452;All Services Telecommunications, broadcasting and information supply services Operation services of public archives including digital archives
998453;All Services Telecommunications, broadcasting and information supply services Operation services of historical archives including digital archives
998461;All Services Telecommunications, broadcasting and information supply services Radio broadcast originals
998462;All Services Telecommunications, broadcasting and information supply services Television broadcast originals
998463;All Services Telecommunications, broadcasting and information supply services Radio channel programmes
998464;All Services Telecommunications, broadcasting and information supply services Television channel programmes
998465;All Services Telecommunications, broadcasting and information supply services Broadcasting services
998466;All Services Telecommunications, broadcasting and information supply services Home programme distribution services
998469;All Services Telecommunications, broadcasting and information supply services Other broadcasting, programming and programme distribution services
998511;All Services Support services Executive or retained personnel search services
998512;All Services Support services Permanent placement services, other than executive search services
998513;All Services Support services Contract staffing services
998514;All Services Support services Temporary staffing services
998515;All Services Support services Long-term staffing (pay rolling) services
998516;All Services Support services Temporary staffing-to-permanent placement services
998517;All Services Support services Co-employment staffing services
998519;All Services Support services Other employment and labour supply services nowhere else classified
998521;All Services Support services Investigation services
998522;All Services Support services Security consulting services
998523;All Services Support services Security systems services
998524;All Services Support services Armoured car services
998525;All Services Support services Guard services
998526;All Services Support services Training of guard dogs
998527;All Services Support services Polygraph services
998528;All Services Support services Fingerprinting services
998529;All Services Support services Other security services nowhere else classified
998531;All Services Support services Disinfecting and exterminating services
998532;All Services Support services Window cleaning services
998533;All Services Support services General cleaning services
998534;All Services Support services Specialised cleaning services for reservoirs and tanks
998535;All Services Support services Sterilisation of objects or premises (operating rooms)
998536;All Services Support services Furnace and chimney cleaning services
998537;All Services Support services Exterior cleaning of buildings of all types
