Legacy_Serial_number,Material_Type,Material,Material_Description,Legacy_Field_Value,Material_Group,Old_material_number,Unit_of_Weight,Material_Description_1,Volume_Unit,Denominator,Display_Unit_Measure,Numerator,Base_Unit_of_Measure,Denominator_1,Numerator_1,Denominator_2,Display_Unit_Measure_1,Numerator_2,Base_Unit_of_Measure_1,Denominator_3,Display_Unit_Measure_2,Numerator_3,Base_Unit_of_Measure_2,DOMESTIC_FLAG,NO_STOCK_CHECK_IND,Legacy_Company_Code,POTXT,Manufacturer_Part_No_,Valid_From,Loading_Group,Material_Group_3,Valuation_Class,ZZ1_MM_RP_PLT,Process_Flag,Storage_Location_Extend,Material_Group_4,Denominator_4,Display_Unit_Measure_3,Numerator_4,Denominator_5,Display_Unit_Measure_4,Numerator_5,Item_Plan_Type,Effective_Till_Date,Plant_type_Legacy,HSN
20049_2026:07:01 17:57:17 696,ZICM,MADMD049001,"PRESSURE GAUGE (OWS UNIT),PRESSURE GAUGE",NO,MC SPARES,NEW,,"PRESSURE GAUGE (OWS UNIT),PRESSURE GAUGE",,1,,1,,0,0,0,,0,,0,,0,,,,47,"PRESSURE GAUGE, COMFONOMICS DESIGN VENTURES LLP, P",PRESSURE GAUGE (OWS UNIT),,,,3000.0,,,,,0,,0,0,,0,,9999-12-31,,9999
20049_2026:07:01 18:01:13 161,ZICM,MAB7H01E000,"BSA804SD-FA3BUA-R134A,COMPRESSOR,ADVANCE",NO,MC SPARES,NEW,,"BSA804SD-FA3BUA-R134A,COMPRESSOR,ADVANCE",,1,,1,,0,0,0,,0,,0,,0,,,,47,"COMPRESSOR, ADVANCE, BSA804SD-FA3BUA-R134A, APPLIC",BSA804SD-FA3BUA-R134A,,,,3000.0,,,,,0,,0,0,,0,,9999-12-31,,9999
20049_2026:07:01 18:05:13 324,ZICM,MAE3W002000,"B1028A30054,LIFTING ARM PIN 1",NO,MC SPARES,NEW,,"B1028A30054,LIFTING ARM PIN 1",,1,,1,,0,0,0,,0,,0,,0,,,,47,"LIFTING ARM PIN 1, B1028A30054, PART NAME SHAFT LO",B1028A30054,,,,3000.0,,,,,0,,0,0,,0,,9999-12-31,,9999
20049_2026:07:01 18:31:18 206,ZICM,MA1DY0XW000,"FHF23000369/31,PAD",NO,MC SPARES,NEW,,"FHF23000369/31,PAD",,1,,1,,0,0,0,,0,,0,,0,,,,47,"PAD, FHF23000369/31, PART NAME PAD (THRUST), LENGT",FHF23000369/31,,,,3000.0,,,,,0,,0,0,,0,,9999-12-31,,9999
20049_2026:07:01 18:33:13 925,ZICM,MA7SW001000,"PB-GA006004-C,CRASH PROTECTION PIN",NO,MC SPARES,NEW,,"PB-GA006004-C,CRASH PROTECTION PIN",,1,,1,,0,0,0,,0,,0,,0,,,,2,"CRASH PROTECTION PIN, PB-GA006004-C, OD 4H7 MM, LE",PB-GA006004-C,,,,3000.0,,E,,,0,,0,0,,0,2032.0,9999-12-31,,9999
20049_2026:07:02 14:45:20 341,ZICM,MAAAX04L000,"919550550,BELT,SPERONI",NO,MC SPARES,NEW,,"919550550,BELT,SPERONI",,1,,1,,0,0,0,,0,,0,,0,,,,47,"BELT, SPERONI, 919550550, SPEC "" TRANSMISSION BELT",919550550,,,,3000.0,,,,,0,,0,0,,0,,9999-12-31,,9999
20049_2026:07:02 17:47:13 498,ZICM,MA9KT07H000,"SF-PRO-IN 1.5KW,INDUCTION MOTOR,MITSUBIS",NO,MC SPARES,NEW,,"SF-PRO-IN 1.5KW,INDUCTION MOTOR,MITSUBIS",,1,,1,,0,0,0,,0,,0,,0,,,,47,"INDUCTION MOTOR, MITSUBISHI, SF-PRO-IN 1.5KW, SPEC",SF-PRO-IN 1.5KW,,,,3000.0,,,,,0,,0,0,,0,,9999-12-31,,9999
20049_2026:07:02 17:49:13 039,ZICM,MA9KT07C000,"SF-PRP, 0.75KW/4P,INDUCTION MOTOR,MITSUB",NO,MC SPARES,NEW,,"SF-PRP, 0.75KW/4P,INDUCTION MOTOR,MITSUB",,1,,1,,0,0,0,,0,,0,,0,,,,2,"INDUCTION MOTOR, MITSUBISHI, SF-PRP, 0.75KW/4P, RA","SF-PRP, 0.75KW/4P",,,,3000.0,,E,,,0,,0,0,,0,2032.0,9999-12-31,,9999
20049_2026:07:02 18:41:19 301,ZICM,MA1DY0XY000,"A8661-012-001-L,PAD",NO,MC SPARES,NEW,,"A8661-012-001-L,PAD",,1,,1,,0,0,0,,0,,0,,0,,,,47,"PAD, A8661-012-001-L, MATERIAL VULKOLLAN, TOP DIA",A8661-012-001-L,,,,3000.0,,,,,0,,0,0,,0,,9999-12-31,,9999
20049_2026:07:02 18:43:13 850,ZICM,MA3OB09D000,"L6761-051-004-L,SEAL",NO,MC SPARES,NEW,,"L6761-051-004-L,SEAL",,1,,1,,0,0,0,,0,,0,,0,,,,1,"SEAL, L6761-051-004-L, MATERIAL URETHAN RUBBER, HA",L6761-051-004-L,,,,3000.0,,E,,,0,,0,0,,0,2021.0,9999-12-31,,9999
20050_2026:07:01 09:39:20 232,ZICM,MAB3E00H000,"REGO-3131XNE,SAFETY RELIEF VALVE,REGO",NO,MC SPARES,NEW,,"REGO-3131XNE,SAFETY RELIEF VALVE,REGO",,1,,1,,0,0,0,,0,,0,,0,,,,1,"SAFETY RELIEF VALVE, REGO, REGO-3131XNE, SIZE 20 M",REGO-3131XNE,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20050_2026:07:01 13:35:19 668,ZICM,MAFHG001000,"06AED368,PROBE ASSEMBLY,MITUTOYO",NO,MC SPARES,NEW,,"06AED368,PROBE ASSEMBLY,MITUTOYO",,1,,1,,0,0,0,,0,,0,,0,,,,1,"PROBE ASSEMBLY, MITUTOYO, 06AED368, USED IN MITUTO",06AED368,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20050_2026:07:01 15:31:19 703,ZICM,MA5NU00A000,"865 T81,LED TUBE ROD,PHILIPS",NO,MC SPARES,NEW,,"865 T81,LED TUBE ROD,PHILIPS",,1,,1,,0,0,0,,0,,0,,0,,,,1,"LED TUBE ROD, PHILIPS, 865 T81, PHILIPS MASTER LED",865 T81,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20050_2026:07:01 16:27:13 310,ZOES,33850M66T10,"CABLE, BATTERY",EA,LOC COMP,,G,"CABLE, BATTERY",CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,,43,,,,0001,S,,,,,B,1,EA2,1,1,SU2,1,,9999-12-31,S,9999
20050_2026:07:01 17:25:14 204,ZICM,MA1C205Z000,"B1028A20017.05,LOCATOR",NO,MC SPARES,NEW,,"B1028A20017.05,LOCATOR",,1,,1,,0,0,0,,0,,0,,0,,,,1,"LOCATOR, B1028A20017.05, PART NAME LOCATAR BLOCK W",B1028A20017.05,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20050_2026:07:01 17:57:17 697,ZICM,MA5OT001000,"SMOKE DETECTION ASSEMBLY,SMOKE TESTER KI",NO,MC SPARES,NEW,,"SMOKE DETECTION ASSEMBLY,SMOKE TESTER KI",,1,,1,,0,0,0,,0,,0,,0,,,,1,"SMOKE TESTER KIT, OTHER, SMOKE DETECTION ASSEMBLY,",SMOKE DETECTION ASSEMBLY,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20050_2026:07:01 18:05:13 326,ZICM,MA2JW02U000,"B1028A20027,GUIDE BLOCK",NO,MC SPARES,NEW,,"B1028A20027,GUIDE BLOCK",,1,,1,,0,0,0,,0,,0,,0,,,,1,"GUIDE BLOCK, B1028A20027, LENGTH 24 MM, WIDTH 16 M",B1028A20027,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
